Lowest Fare
3118
4112
2918
2969
3260
3012
3589
3764
2260
2824
3494
2833
3383
3368
4358
4084
2835
3159
3212
4255
3279
4909
3572
2719
2659
3307
3136
4281
2353
4711
3859
1548
2716
2387
1968
1095
1696
1012
1208
1881
1221
1635
1742
1809
1804
1682
2287
1835
1420
1843
1202
1257
2565
1452
1895
1683
3230
1099
388
3220
2616
2565
3287
3531
2013
3012
2262
2817
1969
2459
1404
2566
3264
1680
3544
2584
2963
3804
3833
3270
1583
3025
3807
2783
3942
3216
2048
1499
2365
2613
3697
4566
5192
4698
4295
3995
3434
4856
5816
4109
3351
3499
3935
3015
3404
4019
3138
3308
3084
4131
4062
4188
4298
3970
3652
3962
3526
4643
3879
2004
11216
12315
10794
10840
12333
12040
7381
10075
11976
10221
9674
11399
9238
10284
8798
7211
9571
7758
9004
10326
11265
8147
9908
10183
11761
10955
11431
6306
9897
10151
7890
10709
11435
14265
11196
12903
10886
14108
12797
10800
15460
14582
11968
10709
11782
10584
13365
10106
15537
11432
12417
11112
9127
9962
12919
13451
15442
13444
8558
9770
12469
8907
10343
8120
9475
8358
8790
8366
9661
3912
8478
6302
8909
9112
8997
7768
7375
8787
7976
8674
6838
8275
8439
8669
7940
7546
8975
7296
9234
10204
6745
6297
3515
9372
8252
9362
8789
9356
8043
6900
8843
9899
6955
4921
9233
7697
9637
9123
9191
9816
10155
4355
9052
8154
6610
9768
9402
8175
9509
9590
9929
9377
8737
6122
5308
6528
7538
7266
7992
5990
6896
7871
8182
7477
7505
6720
5490
6391
6885
6687
7080
5530
7781
5983
7184
9169
7119
5859
7071
6944
6511
6704
5941
6010
10721
9206
12873
13645
11583
9335
9669
12961
8562
9157
10790
11112
9991
14020
9328
11912
10516
10706
9492
9293
10952
7618
12045
10654
12155
10054
12324
9394
8482
9386
6577
5726
6099
6790
6071
6589
5237
7281
7630
5998
6131
6564
5880
6687
6722
7867
8188
6451
3552
6286
7707
5497
7469
5834
6702
9085
4784
6324
5420
6445
6642
8888
10706
9405
8180
10454
8917
9384
8220
8432
8081
9732
8414
9493
5713
7438
5926
8946
8565
8990
8027
9399
7918
9017
10944
10740
8373
6267
9173
6755
12277
